Gene1,Gene2,PartialCorr_Normal,PartialCorr_Tumor,Difference
BAD,RPS6KA5,0.0,0.0,0.0
BAD,NFKBIA,0.0,0.0,0.0
BAD,MMP9,-0.0,0.0,0.0
BAD,STK4,0.0,0.0,0.0
BAD,PLCB4,0.0,-0.0,-0.0
BAD,JAG1,-0.0,-0.0,0.0
BAD,LAMA1,-0.0,-0.0,0.0
BAD,XIAP,0.0,-0.0,-0.0
BAD,MAPK3,0.0,0.0,0.0
BAD,AXIN1,-0.0,-0.0,0.0
BAD,ELOB,-0.0,-0.0,0.0
BAD,IKBKB,0.0,0.0,0.0
BAD,TGFB1,-0.0,-0.0,0.0
BAD,JAK3,-0.0,0.0,0.0
BAD,CDK6,-0.0,-0.0,0.0
BAD,MET,-0.0,0.0,0.0
BAD,WNT2,0.0,0.0,0.0
BAD,GLI3,-0.0,0.0,0.0
BAD,DVL1,0.0,0.0,0.0
BAD,CXCL12,0.0,0.0,0.0
BAD,MAPK8,-0.0,0.0,0.0
BAD,SUFU,-0.0,-0.0,0.0
BAD,CCDC6,0.0,0.0,0.0
BAD,CUL2,-0.0,0.0,0.0
BAD,RPS6KB1,-0.0,-0.0,0.0
BAD,NFKB1,0.0,0.0,0.0
BAD,MAPK10,0.0,-0.0,-0.0
BAD,ZBTB16,0.0,0.0,0.0
BAD,CCND1,0.0,0.0,0.0
BAD,BIRC2,-0.0,0.0,0.0
BAD,CBL,0.0,0.0,0.0
BAD,CDKN1B,0.0,0.0,0.0
BAD,E2F3,-0.0,0.0,0.0
BAD,VEGFA,-0.0,-0.0,0.0
BAD,LAMA4,0.0,0.0,0.0
BAD,MSH3,-0.0,-0.0,0.0
BAD,SKP1,0.0,0.0,0.0
BAD,FGF1,0.0,0.0,0.0
BAD,PDGFRB,0.0,0.0,0.0
BAD,KNG1,0.0,0.0,0.0
BAD,WNT5A,-0.0,-0.0,0.0
BAD,HES1,-0.0,-0.0,0.0
BAD,GNAI2,0.0,0.0,0.0
BAD,TFG,-0.0,0.0,0.0
BAD,GNB4,0.0,0.0,0.0
BAD,FN1,0.0,0.0,0.0
BAD,STAT1,-0.0,-0.0,0.0
BAD,SOS1,-0.0,0.0,0.0
BAD,MSH6,-0.0,-0.0,0.0
BAD,HDAC1,-0.0,-0.0,0.0
BAD,ZBTB17,-0.0,0.0,0.0
BAD,SLC2A1,-0.0,-0.0,0.0
BAD,TGFB3,-0.0,-0.0,0.0
BAD,GNA13,0.0,-0.0,-0.0
BAD,APAF1,0.0,0.0,0.0
BAD,ADCY7,0.0,0.0,0.0
BAD,PIK3CA,-0.0,-0.0,0.0
BAD,CXCR4,-0.0,0.0,0.0
BAD,POLK,0.0,0.0,0.0
BAD,CDK2,-0.0,-0.0,0.0
BAD,CKS2,-0.0,-0.0,0.0
BAD,NCOA3,-0.0,-0.0,0.0
BAD,CDKN1A,-0.0,0.0,0.0
BAD,BMP2,0.0,0.0,0.0
BAD,MAX,-0.0,-0.0,0.0
BAD,STAT5A,0.0,0.0,0.0
BAD,ELK1,-0.0,0.0,0.0
BAD,MAP2K2,-0.0,-0.0,0.0
BAD,TRAF2,-0.0,0.0,0.0
BAD,GNG11,0.0,0.0,0.0
BAD,GNAI1,0.0,0.0,0.0
BAD,RAC2,-0.0,-0.0,0.0
BAD,PLD2,0.0,0.0,0.0
BAD,LAMA5,0.0,0.0,0.0
BAD,TRAF3,-0.0,-0.0,0.0
BAD,IL13RA1,0.0,0.0,0.0
BAD,RARA,0.0,0.0,0.0
BAD,RAF1,0.0,0.0,0.0
BAD,ARHGEF11,0.0,0.0,0.0
BAD,CASP9,0.0,0.0,0.0
BAD,GSTT2B,0.0,-0.0,-0.0
BAD,GSTM1,-0.0,0.0,0.0
BAD,GSTM5,0.0,0.0,0.0
BAD,GSTM3,0.0,-0.0,-0.0
BAD,WNT2B,0.0,0.0,0.0
BAD,ROCK2,0.0,0.0,0.0
BAD,IL6ST,0.0,0.0,0.0
BAD,DDB2,-0.0,-0.0,0.0
BAD,PDGFRA,0.0,0.0,0.0
BAD,COL4A2,0.0,0.0,0.0
BAD,ETS1,0.0,0.0,0.0
BAD,APC,0.0,-0.0,-0.0
BAD,CDK4,0.0,0.0,0.0
BAD,AGT,0.0,0.0,0.0
BAD,EGLN1,-0.0,-0.0,0.0
BAD,LAMC1,0.0,0.0,0.0
BAD,RAC1,0.0,-0.0,-0.0
BAD,PLCB2,0.0,0.0,0.0
BAD,ADCY3,-0.0,-0.0,0.0
BAD,STAT4,0.0,0.0,0.0
BAD,ITGAV,-0.0,-0.0,0.0
BAD,FGF2,0.0,0.0,0.0
BAD,LEF1,-0.0,-0.0,0.0
BAD,BRCA2,0.0,0.0,0.0
BAD,RB1,-0.0,-0.0,0.0
BAD,IGF1R,-0.0,-0.0,0.0
BAD,PML,-0.0,-0.0,0.0
BAD,TP53,-0.0,-0.0,0.0
BAD,SMAD4,0.0,0.0,0.0
BAD,AKT1,0.0,0.0,0.0
BAD,PRKACB,0.0,0.0,0.0
BAD,MGST3,0.0,-0.0,-0.0
BAD,TPM3,0.0,0.0,0.0
BAD,EML4,-0.0,0.0,0.0
BAD,RALB,0.0,-0.0,-0.0
BAD,CAMK2D,0.0,0.0,0.0
BAD,CCNA2,-0.0,-0.0,0.0
BAD,SKP2,-0.0,-0.0,0.0
BAD,PIK3R1,0.0,0.0,0.0
BAD,GNA12,0.0,0.0,0.0
BAD,EGFR,-0.0,-0.0,0.0
BAD,CDKN2B,-0.0,-0.0,0.0
BAD,CDKN2A,-0.0,-0.0,0.0
BAD,NOTCH1,0.0,-0.0,-0.0
BAD,CAMK2G,0.0,0.0,0.0
BAD,GSTO1,0.0,0.0,0.0
BAD,PLCB3,0.0,0.0,0.0
BAD,ITGB1,0.0,0.0,0.0
BAD,VEGFC,0.0,0.0,0.0
BAD,FOXO1,-0.0,-0.0,0.0
BAD,BCL2L11,-0.0,-0.0,0.0
BAD,PRKCA,0.0,0.0,0.0
BAD,ELOC,-0.0,-0.0,0.0
BAD,FZD7,-0.0,-0.0,0.0
BAD,GNAQ,0.0,0.0,0.0
BAD,FZD1,-0.0,0.0,0.0
BAD,KIT,0.0,0.0,0.0
BAD,APPL1,0.0,0.0,0.0
BAD,BRAF,0.0,-0.0,-0.0
BAD,RUNX1,-0.0,-0.0,0.0
BAD,CTBP1,0.0,0.0027118747899623616,0.0027118747899623616
BAD,DVL3,-0.0,-0.0,0.0
BAD,ADCY9,0.0,0.0,0.0
BAD,JAK1,0.0,0.0,0.0
BAD,TGFBR2,0.0,0.0,0.0
BAD,ITGA2,-0.0,-0.0,0.0
BAD,CASP3,-0.0,-0.0,0.0
BAD,FZD6,-0.0,-0.0,0.0
BAD,VEGFD,0.0,0.0,0.0
BAD,CASP7,0.0,0.0,0.0
BAD,PRKCB,0.0,0.0,0.0
BAD,HSP90B1,-0.0,-0.0,0.0
BAD,KIF7,-0.0,0.0,0.0
BAD,STAT6,0.0,0.0,0.0
BAD,SMAD3,0.0,0.0,0.0
BAD,CRK,0.0,0.0,0.0
BAD,DAPK3,0.0,0.0,0.0
BAD,CTNNB1,0.0,0.0,0.0
BAD,FADD,-0.0,0.0,0.0
BAD,STAT3,0.0,-0.0,-0.0
BAD,IL7R,0.0,0.0,0.0
BAD,GSTM4,-0.0,-0.0,0.0
BAD,COL4A3,0.0,0.0,0.0
BAD,MAP2K1,0.0,0.0,0.0
BAD,PTK2,0.0,0.0,0.0
BAD,RAC3,0.0,-0.0,-0.0
BAD,FOS,-0.0,0.0,0.0
BAD,STAT2,-0.0,-0.0,0.0
BAD,GSTA4,-0.0,-0.0,0.0
BAD,BCL2L1,-0.0,0.1257515051058419,0.1257515051058419
BAD,PIK3CD,0.0,0.0,0.0
BAD,RASGRP4,0.0,0.0,0.0
BAD,BCL2,-0.0,0.0,0.0
BAD,PTEN,0.0,0.0,0.0
BAD,LAMB2,0.0,0.0,0.0
BAD,GNB2,0.0,0.0,0.0
BAD,GNG12,0.0,0.0,0.0
BAD,RELA,0.0,0.0,0.0
BAD,CKS1B,-0.0,-0.0,0.0
BAD,STAT5B,0.0,0.0,0.0
BAD,JUP,-0.0,-0.0,0.0
BAD,GNG5,0.0,0.0,0.0
BAD,ADCY6,0.0,0.0,0.0
BAD,CTBP2,0.0,0.0,0.0
BAD,TRAF6,0.0,-0.0,-0.0
BAD,SMAD2,0.0,-0.0,-0.0
BAD,RPS6KB2,-0.0,0.0,0.0
BAD,GNG7,0.0,0.0,0.0
BAD,FZD8,0.0,0.0,0.0
BAD,JUN,-0.0,0.0,0.0
BAD,GRB2,0.0,0.0,0.0
BAD,CALML3,-0.0,-0.0,0.0
BAD,CALML5,-0.0,0.0,0.0
BAD,F2,0.0,0.0,0.0
BAD,CSF1R,0.0,0.0,0.0
BAD,PLCB1,0.0,0.0,0.0
BAD,TXNRD2,0.0,0.0,0.0
BAD,JAG2,-0.0,-0.0,0.0
BAD,IL3RA,0.0,0.0,0.0
BAD,SP1,0.0,-0.0,-0.0
BAD,RXRA,0.0,-0.0,-0.0
BAD,GNG2,0.0,0.0,0.0
BAD,BCR,-0.0,0.0,0.0
BAD,MITF,0.0,0.0,0.0
BAD,COL4A1,0.0,0.0,0.0
BAD,WNT7B,-0.0,-0.0,0.0
BAD,COL4A5,0.0,-0.0,-0.0
BAD,LAMA2,0.0,0.0,0.0
BAD,HDAC2,-0.0,0.0,0.0
BAD,MMP1,-0.0,-0.0,0.0
BAD,DAPK1,0.0,0.0,0.0
BAD,LAMB3,-0.0,-0.0,0.0
BAD,ARHGEF12,0.0,0.0,0.0
BAD,TXNRD3,0.0,0.0,0.0
BAD,PLCG2,-0.0,-0.0,0.0
BAD,LPAR1,0.0,-0.0,-0.0
BAD,CSF2RA,0.0,0.0,0.0
BAD,TXNRD1,-0.0,-0.0,0.0
BAD,MTOR,0.0,0.0,0.0
BAD,RXRB,-0.0,-0.0,0.0
BAD,NRAS,0.0,0.0,0.0
BAD,GSTM2,0.0,-0.0,-0.0
BAD,GNG10,0.0,0.0,0.0
BAD,CEBPA,0.0,-0.0,-0.0
BAD,RASSF5,0.0,0.0,0.0
BAD,NCOA4,0.0,0.0,0.0
BAD,IKBKG,0.0,0.0,0.0
DVL2,CREBBP,-0.0,0.0,0.0
DVL2,ITGA3,0.0,-0.0,-0.0
DVL2,ITGA2B,0.0,-0.0,-0.0
DVL2,RALA,-0.0,0.0,0.0
DVL2,MGST1,-0.0,-0.0,0.0
DVL2,IGF1,0.0,-0.0,-0.0
DVL2,RALBP1,-0.0,0.0,0.0
DVL2,HGF,0.0,-0.0,-0.0
DVL2,FAS,-0.0,-0.0,0.0
DVL2,IFNGR1,0.0,-0.0,-0.0
DVL2,BAK1,0.0,-0.0,-0.0
DVL2,DAPK2,0.0,-0.0,-0.0
DVL2,FLT4,0.0,-0.0,-0.0
DVL2,CDH1,0.0,-0.0,-0.0
DVL2,CTNNA1,0.0,-0.0,-0.0
DVL2,TPR,-0.0,0.0,0.0
DVL2,KITLG,0.0,0.0,0.0
DVL2,LAMC3,0.0,-0.0,-0.0
DVL2,MAPK9,0.0,-0.0,-0.0
DVL2,RAD51,0.0,0.0,0.0
DVL2,PIK3CB,-0.0,0.0,0.0
DVL2,LAMA3,-0.0,-0.0,0.0
DVL2,CUL1,0.0,0.0,0.0
DVL2,TRAF1,-0.0,-0.0,0.0
DVL2,LAMC2,0.0,-0.0,-0.0
DVL2,CASP8,-0.0,-0.0,0.0
DVL2,GNAI3,0.0,-0.0,-0.0
DVL2,SPI1,-0.0,-0.0,0.0
DVL2,FGFR2,-0.0,0.0,0.0
DVL2,RHOA,-0.0,-0.0,0.0
DVL2,ROCK1,-0.0,0.0,0.0
DVL2,RASSF1,-0.0,-0.0,0.0
DVL2,GNB5,0.0,0.0,0.0
DVL2,CDC42,-0.0,-0.0,0.0
DVL2,PRKACA,-0.0,-0.0,0.0
DVL2,PTGS2,-0.0,-0.0,0.0
DVL2,GLI2,0.0,0.0,0.0
DVL2,NOTCH3,0.0,0.0,0.0
DVL2,PLD1,0.0,-0.0,-0.0
DVL2,MLH1,0.0,0.0,0.0
DVL2,TRAF4,-0.0,0.0,0.0
DVL2,ARHGEF1,-0.0,-0.0,0.0
DVL2,NFKB2,-0.0,-0.0,0.0
DVL2,FGFR1,0.0,0.0,0.0
DVL2,ARAF,-0.0,-0.0,0.0
DVL2,GNB1,0.0,0.0,0.0
DVL2,RUNX1T1,-0.0,0.0,0.0
DVL2,KEAP1,-0.0,-0.0,0.0
DVL2,HSP90AA1,-0.0,0.0,0.0
DVL2,COL4A4,0.0,-0.0,-0.0
DVL2,TRAF5,0.0,0.0,0.0
DVL2,GSK3B,-0.0,0.0,0.0
DVL2,NCOA1,0.0,0.0,0.0
DVL2,MECOM,-0.0,-0.0,0.0
DVL2,WNT11,0.0,-0.0,-0.0
DVL2,MGST2,-0.0,-0.0,0.0
DVL2,BAX,-0.0,-0.0,0.0
DVL2,MMP2,0.0,0.0,0.0
DVL2,GNAS,0.0,-0.0,-0.0
DVL2,GNA11,0.0,0.0,0.0
DVL2,BIRC5,-0.0,0.0,0.0
DVL2,LAMB1,0.0,0.0,0.0
DVL2,ITGA6,0.0,0.0,0.0
DVL2,FH,0.0,0.0,0.0
DVL2,TGFB2,-0.0,-0.0,0.0
DVL2,MSH2,0.0,0.0,0.0
DVL2,HSP90AB1,-0.0,0.0,0.0
DVL2,JAK2,0.0,-0.0,-0.0
DVL2,ABL1,-0.0,-0.0,0.0
DVL2,MAPK1,0.0,-0.0,-0.0
DVL2,HMOX1,-0.0,-0.0,0.0
DVL2,RBX1,0.0,0.0,0.0
DVL2,EP300,-0.0,0.0,0.0
DVL2,SOS2,-0.0,-0.0,0.0
DVL2,HIF1A,-0.0,0.0,0.0
DVL2,RPS6KA5,0.0,0.0,0.0
DVL2,NFKBIA,0.0,0.0,0.0
DVL2,MMP9,-0.0,-0.0,0.0
DVL2,STK4,-0.0,-0.0,0.0
DVL2,PLCB4,0.0,0.0,0.0
DVL2,JAG1,-0.0,-0.0,0.0
DVL2,LAMA1,0.0,0.0,0.0
DVL2,XIAP,-0.0,-0.0,0.0
DVL2,MAPK3,0.0,-0.0,-0.0
DVL2,AXIN1,0.0,-0.0,-0.0
DVL2,ELOB,-0.0,0.0,0.0
DVL2,IKBKB,-0.0,-0.0,0.0
DVL2,TGFB1,0.0,-0.0,-0.0
DVL2,JAK3,-0.0,-0.0,0.0
DVL2,CDK6,0.0,-0.0,-0.0
DVL2,MET,0.0,-0.0,-0.0
DVL2,WNT2,-0.0,0.0,0.0
DVL2,GLI3,-0.0,0.0,0.0
DVL2,DVL1,0.0,-0.0,-0.0
DVL2,CXCL12,0.0,-0.0,-0.0
DVL2,MAPK8,-0.0,0.0,0.0
DVL2,SUFU,0.0,0.0,0.0
DVL2,CCDC6,-0.0,0.0,0.0
DVL2,CUL2,0.0,0.0,0.0
DVL2,RPS6KB1,0.0,0.0,0.0
DVL2,NFKB1,-0.0,-0.0,0.0
DVL2,MAPK10,-0.0,0.0,0.0
DVL2,ZBTB16,0.0,-0.0,-0.0
DVL2,CCND1,0.0,0.0,0.0
DVL2,BIRC2,0.0,0.0,0.0
DVL2,CBL,0.0,-0.0,-0.0
DVL2,CDKN1B,0.0,-0.0,-0.0
DVL2,E2F3,-0.0,0.0,0.0
DVL2,VEGFA,0.0,0.0,0.0
DVL2,LAMA4,0.0,-0.0,-0.0
DVL2,MSH3,0.0,0.0,0.0
DVL2,SKP1,0.0,0.0,0.0
DVL2,FGF1,0.0,0.0,0.0
DVL2,PDGFRB,0.0,-0.0,-0.0
DVL2,KNG1,0.0,-0.0,-0.0
DVL2,WNT5A,0.0,0.0,0.0
DVL2,HES1,-0.0,-0.0,0.0
DVL2,GNAI2,-0.0,-0.0,0.0
DVL2,TFG,0.0,0.0,0.0
DVL2,GNB4,0.0,-0.0,-0.0
DVL2,FN1,0.0,0.0,0.0
DVL2,STAT1,-0.0,-0.0,0.0
DVL2,SOS1,0.0,0.0,0.0
DVL2,MSH6,-0.0,0.0,0.0
DVL2,HDAC1,-0.0,0.0,0.0
DVL2,ZBTB17,-0.0,0.0,0.0
DVL2,SLC2A1,0.0,0.0,0.0
DVL2,TGFB3,0.0,0.0,0.0
DVL2,GNA13,-0.0,-0.0,0.0
DVL2,APAF1,-0.0,-0.0,0.0
DVL2,ADCY7,-0.0,-0.0,0.0
DVL2,PIK3CA,0.0,-0.0,-0.0
DVL2,CXCR4,-0.0,-0.0,0.0
DVL2,POLK,0.0,0.0,0.0
DVL2,CDK2,0.0,0.0,0.0
DVL2,CKS2,0.0,0.0,0.0
DVL2,NCOA3,-0.0,0.0,0.0
DVL2,CDKN1A,0.0,0.0,0.0
DVL2,BMP2,-0.0,0.0,0.0
DVL2,MAX,-0.0,-0.0,0.0
DVL2,STAT5A,-0.0,-0.0,0.0
DVL2,ELK1,0.0,0.0,0.0
DVL2,MAP2K2,0.0,-0.0,-0.0
DVL2,TRAF2,0.0,0.0,0.0
DVL2,GNG11,0.0,-0.0,-0.0
DVL2,GNAI1,0.0,0.0,0.0
DVL2,RAC2,-0.0,-0.0,0.0
DVL2,PLD2,0.0,0.0,0.0
DVL2,LAMA5,0.0,-0.0,-0.0
DVL2,TRAF3,-0.0,0.0,0.0
DVL2,IL13RA1,0.0,-0.0,-0.0
DVL2,RARA,-0.0,0.0,0.0
DVL2,RAF1,-0.0,0.0,0.0
DVL2,ARHGEF11,-0.0,0.0,0.0
DVL2,CASP9,-0.0,0.0,0.0
DVL2,GSTT2B,0.0,0.0,0.0
DVL2,GSTM1,-0.0,0.0,0.0
DVL2,GSTM5,0.0,-0.0,-0.0
DVL2,GSTM3,0.0,0.0,0.0
DVL2,WNT2B,0.0,0.0,0.0
DVL2,ROCK2,0.0,0.0,0.0
DVL2,IL6ST,0.0,-0.0,-0.0
DVL2,DDB2,0.0,-0.0,-0.0
DVL2,PDGFRA,0.0,-0.0,-0.0
DVL2,COL4A2,0.0,0.0,0.0
DVL2,ETS1,-0.0,-0.0,0.0
DVL2,APC,-0.0,-0.0,0.0
DVL2,CDK4,-0.0,0.0,0.0
DVL2,AGT,0.0,-0.0,-0.0
DVL2,EGLN1,-0.0,0.0,0.0
DVL2,LAMC1,0.0,-0.0,-0.0
DVL2,RAC1,-0.0,-0.0,0.0
DVL2,PLCB2,-0.0,-0.0,0.0
DVL2,ADCY3,-0.0,-0.0,0.0
DVL2,STAT4,0.0,-0.0,-0.0
DVL2,ITGAV,-0.0,-0.0,0.0
DVL2,FGF2,0.0,0.0,0.0
DVL2,LEF1,0.0,0.0,0.0
DVL2,BRCA2,0.0,-0.0,-0.0
DVL2,RB1,-0.0,-0.0,0.0
DVL2,IGF1R,0.0,-0.0,-0.0
DVL2,PML,-0.0,-0.0,0.0
DVL2,TP53,-0.0,0.0,0.0
DVL2,SMAD4,0.0,0.0,0.0
DVL2,AKT1,-0.0,-0.0,0.0
DVL2,PRKACB,-0.0,-0.0,0.0
DVL2,MGST3,-0.0,0.0,0.0
DVL2,TPM3,-0.0,0.0,0.0
DVL2,EML4,-0.0,0.0,0.0
DVL2,RALB,0.0,-0.0,-0.0
DVL2,CAMK2D,-0.0,0.0,0.0
DVL2,CCNA2,-0.0,0.0,0.0
DVL2,SKP2,0.0,0.0,0.0
DVL2,PIK3R1,-0.0,-0.0,0.0
DVL2,GNA12,0.0,0.0,0.0
DVL2,EGFR,0.0,-0.0,-0.0
DVL2,CDKN2B,0.0,-0.0,-0.0
DVL2,CDKN2A,0.0,-0.0,-0.0
DVL2,NOTCH1,0.0,0.0,0.0
DVL2,CAMK2G,0.0,0.0,0.0
DVL2,GSTO1,0.0,-0.0,-0.0
DVL2,PLCB3,-0.0,0.0,0.0
DVL2,ITGB1,-0.0,-0.0,0.0
DVL2,VEGFC,-0.0,0.0,0.0
DVL2,FOXO1,0.0,-0.0,-0.0
DVL2,BCL2L11,0.0,0.0,0.0
DVL2,PRKCA,0.0,0.0,0.0
DVL2,ELOC,-0.0,0.0,0.0
DVL2,FZD7,-0.0,0.0,0.0
DVL2,GNAQ,0.0,-0.0,-0.0
DVL2,FZD1,0.0,0.0,0.0
DVL2,KIT,0.0,0.0,0.0
DVL2,APPL1,0.0,-0.0,-0.0
DVL2,BRAF,0.0,0.0,0.0
DVL2,RUNX1,-0.0,-0.0,0.0
DVL2,CTBP1,0.0,0.0,0.0
DVL2,DVL3,0.0,0.0,0.0
DVL2,ADCY9,0.0,-0.0,-0.0
DVL2,JAK1,-0.0,-0.0,0.0
DVL2,TGFBR2,0.0,-0.0,-0.0
DVL2,ITGA2,0.0,-0.0,-0.0
DVL2,CASP3,-0.0,-0.0,0.0
DVL2,FZD6,0.0,-0.0,-0.0
DVL2,VEGFD,0.0,-0.0,-0.0
DVL2,CASP7,-0.0,0.0,0.0
DVL2,PRKCB,-0.0,-0.0,0.0
DVL2,HSP90B1,-0.0,-0.0,0.0
DVL2,KIF7,0.0,0.0,0.0
DVL2,STAT6,-0.0,-0.0,0.0
DVL2,SMAD3,-0.0,-0.0,0.0
DVL2,CRK,0.0,0.0,0.0
DVL2,DAPK3,0.0,0.0,0.0
DVL2,CTNNB1,0.0,0.0,0.0
DVL2,FADD,0.0,0.0,0.0
DVL2,STAT3,-0.0,0.0,0.0
DVL2,IL7R,0.0,0.0,0.0
DVL2,GSTM4,0.0,0.0,0.0
DVL2,COL4A3,-0.0,-0.0,0.0
DVL2,MAP2K1,-0.0,-0.0,0.0
DVL2,PTK2,0.0,0.0,0.0
DVL2,RAC3,-0.0,0.0,0.0
DVL2,FOS,-0.0,-0.0,0.0
DVL2,STAT2,-0.0,-0.0,0.0
DVL2,GSTA4,0.0,0.0,0.0
DVL2,BCL2L1,-0.0,0.0,0.0
DVL2,PIK3CD,-0.0,-0.0,0.0
DVL2,RASGRP4,0.0,-0.0,-0.0
DVL2,BCL2,0.0,-0.0,-0.0
DVL2,PTEN,-0.0,0.0,0.0
DVL2,LAMB2,0.0,-0.0,-0.0
DVL2,GNB2,0.0,0.0,0.0
DVL2,GNG12,0.0,-0.0,-0.0
DVL2,RELA,-0.0,0.0,0.0
DVL2,CKS1B,0.0,0.0,0.0
DVL2,STAT5B,0.0,-0.0,-0.0
DVL2,JUP,0.0,-0.0,-0.0
DVL2,GNG5,0.0,-0.0,-0.0
DVL2,ADCY6,0.0,0.0,0.0
DVL2,CTBP2,0.0,0.0,0.0
DVL2,TRAF6,-0.0,-0.0,0.0
DVL2,SMAD2,-0.0,0.0,0.0
DVL2,RPS6KB2,0.0,-0.0,-0.0
DVL2,GNG7,0.0,-0.0,-0.0
DVL2,FZD8,-0.0,-0.0,0.0
DVL2,JUN,0.0,0.0,0.0
DVL2,GRB2,-0.0,-0.0,0.0
DVL2,CALML3,0.0,-0.0,-0.0
DVL2,CALML5,-0.0,-0.0,0.0
DVL2,F2,0.0,-0.0,-0.0
DVL2,CSF1R,-0.0,-0.0,0.0
DVL2,PLCB1,0.0,0.0,0.0
DVL2,TXNRD2,-0.0,-0.0,0.0
DVL2,JAG2,-0.0,-0.0,0.0
DVL2,IL3RA,-0.0,-0.0,0.0
DVL2,SP1,-0.0,0.0,0.0
DVL2,RXRA,0.0,-0.0,-0.0
DVL2,GNG2,0.0,-0.0,-0.0
DVL2,BCR,0.0,-0.0,-0.0
DVL2,MITF,-0.0,-0.0,0.0
DVL2,COL4A1,-0.0,0.0,0.0
DVL2,WNT7B,-0.0,-0.0,0.0
DVL2,COL4A5,0.0,-0.0,-0.0
DVL2,LAMA2,0.0,-0.0,-0.0
DVL2,HDAC2,-0.0,0.0,0.0
DVL2,MMP1,-0.0,0.0,0.0
DVL2,DAPK1,-0.0,-0.0,0.0
DVL2,LAMB3,-0.0,-0.0,0.0
DVL2,ARHGEF12,0.0,-0.0,-0.0
DVL2,TXNRD3,0.0,0.0,0.0
DVL2,PLCG2,-0.0,-0.0,0.0
DVL2,LPAR1,-0.0,0.0,0.0
DVL2,CSF2RA,-0.0,-0.0,0.0
DVL2,TXNRD1,0.0,0.0,0.0
DVL2,MTOR,0.0,0.0,0.0
DVL2,RXRB,-0.0,0.0,0.0
DVL2,NRAS,0.0,0.0,0.0
DVL2,GSTM2,0.0,0.0,0.0
DVL2,GNG10,-0.0,-0.0,0.0
